Unnamed: 0,hour,day_of_week,is_weekend,is_holiday,temperature,precipitation,wind_speed,congestion
0,8.0,0.0,0,0,29.5,0.0,4.5,72.3
1,18.0,2.0,0,0,28.1,0.0,3.0,78.9
2,14.0,5.0,1,0,32.0,0.0,6.0,34.2
3,9.0,6.0,1,0,24.0,3.2,5.0,41.7
4,20.0,4.0,0,1,22.3,8.0,2.0,28.6
5,9.0,6.0,1,0,23.8,3.25,5.02,42.74
6,20.0,4.0,0,1,22.2,7.92,1.96,27.65
7,9.0,6.0,1,0,24.0,3.13,4.96,41.58
8,14.0,5.0,1,0,32.03,0.0,6.08,34.09
9,8.0,0.0,0,0,29.39,0.0,4.46,74.2
10,20.0,4.0,0,1,22.23,8.06,1.91,28.18
11,18.0,2.0,0,0,28.02,0.01,2.99,80.13
12,9.0,6.0,1,0,24.13,3.23,4.99,41.39
13,18.0,2.0,0,0,28.52,0.17,3.01,79.33
14,20.0,4.0,0,1,22.4,8.14,2.06,29.37
15,18.0,2.0,0,0,27.83,0.17,2.99,78.48
16,14.0,5.0,1,0,31.72,0.1,5.85,35.3
17,14.0,5.0,1,0,32.06,0.24,6.0,35.8
18,18.0,2.0,0,0,28.12,0.0,3.01,76.86
19,20.0,4.0,0,1,22.05,8.03,2.01,29.22
20,9.0,6.0,1,0,24.16,3.25,4.96,42.23
21,14.0,5.0,1,0,31.86,0.0,6.05,33.94
22,14.0,5.0,1,0,32.23,0.0,5.81,34.55
23,14.0,5.0,1,0,31.84,0.0,5.97,33.62
24,9.0,6.0,1,0,24.05,3.19,4.86,41.67
25,8.0,0.0,0,0,29.42,0.0,4.59,70.84
26,20.0,4.0,0,1,22.36,8.0,2.05,27.42
27,14.0,5.0,1,0,32.13,0.0,6.03,34.18
28,8.0,0.0,0,0,29.51,0.0,4.56,72.74
29,9.0,6.0,1,0,24.0,3.14,5.05,40.45
30,8.0,0.0,0,0,29.58,0.0,4.53,73.25
31,18.0,2.0,0,0,28.24,0.0,3.02,80.24
32,18.0,2.0,0,0,28.28,0.02,2.96,78.03
33,14.0,5.0,1,0,31.95,0.17,6.06,36.03
34,8.0,0.0,0,0,29.53,0.0,4.57,73.66
35,8.0,0.0,0,0,29.5,0.0,4.47,71.16
36,14.0,5.0,1,0,32.15,0.3,5.98,33.43
37,20.0,4.0,0,1,22.46,8.0,1.86,27.73
38,8.0,0.0,0,0,29.61,0.0,4.42,72.79
39,20.0,4.0,0,1,22.41,7.95,2.04,26.61
40,9.0,6.0,1,0,23.92,3.32,5.07,41.35
